VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,20670.0,3.0,3.0,[MJ]
Heat rate - burner,20670.0,3.0,3.0,[MJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[MJ]
Heat rate - vent.,-14875.0,-2.0,3.0,[MJ]
Heat rate - lining,-5599.0,-1.0,1.0,[MJ]
Heat rate - specimen,0.0,0.0,0.0,[MJ]
Heat rate - intern. gas,-29.0,-0.0,1.0,[MJ]
Heat rate - window,-167.0,-0.0,0.0,[MJ]
,,,,
Mass rate - fuel,445.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,14606.0,2.0,2.0,[kg]
Mass rate - ventilation ou,14665.0,2.0,18.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,289.0,492.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,74165.0,10.0,21.0,[% vol.]
