VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,11660.0,2.0,2.0,[MJ]
Heat rate - burner,11660.0,2.0,2.0,[MJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[MJ]
Heat rate - vent.,-5810.0,-1.0,1.0,[MJ]
Heat rate - lining,-5654.0,-1.0,1.0,[MJ]
Heat rate - specimen,0.0,0.0,0.0,[MJ]
Heat rate - intern. gas,-30.0,-0.0,1.0,[MJ]
Heat rate - window,-167.0,-0.0,0.0,[MJ]
,,,,
Mass rate - fuel,251.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,5618.0,1.0,1.0,[kg]
Mass rate - ventilation ou,5674.0,1.0,17.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,159.0,327.0,[deg C]
Temperature - specimen,-,-273.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,39199.0,5.0,21.0,[% vol.]
